Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603_1608Metric",-62.280800,-64.262000,180.000000,bottom
"C2","0.1u","C_0603_1608Metric",-69.494400,-71.450200,-90.000000,bottom
"C3","0.1u","C_0603_1608Metric",-80.391000,-64.643000,0.000000,bottom
"C4","0.1u","C_0603_1608Metric",-74.803000,-54.356000,90.000000,bottom
"C5","4.7u","C_0603_1608Metric",-67.767200,-54.356000,90.000000,bottom
"C6","0.1u","C_0603_1608Metric",-66.167000,-46.800000,90.000000,bottom
"C7","0.1u","C_0603_1608Metric",-136.398000,-46.800000,90.000000,bottom
"C8","0.1u","C_0603_1608Metric",-206.756000,-46.863000,90.000000,bottom
"C9","0.1u","C_0603_1608Metric",-276.987000,-46.863000,90.000000,bottom
"C10","0.1u","C_0603_1608Metric",-344.170000,-44.069000,180.000000,bottom
"C11","0.1u","C_0603_1608Metric",-338.582000,-105.664000,-90.000000,bottom
"C12","0.1u","C_0603_1608Metric",-268.351000,-105.664000,-90.000000,bottom
"C13","0.1u","C_0603_1608Metric",-198.120000,-105.537000,-90.000000,bottom
"C14","0.1u","C_0603_1608Metric",-127.889000,-105.537000,-90.000000,bottom
"C15","0.1u","C_0603_1608Metric",-57.658000,-105.664000,-90.000000,bottom
"C16","22pF","C_0603_1608Metric",-78.105000,-51.054000,90.000000,bottom
"C17","22pF","C_0603_1608Metric",-72.263000,-51.054000,-90.000000,bottom
"C18","1u","C_0603_1608Metric",-66.294000,-56.286400,-90.000000,bottom
"F1","Fuse_Small","Fuse_0805_2012Metric",-66.116200,-37.668200,-90.000000,bottom
"FB1","FerriteBead_Small","L_0805_2012Metric",-73.710800,-32.283400,-90.000000,bottom
"ISP1","ISP_Header","PinHeader_2x03_P2.54mm_Vertical",-87.949800,-46.350000,-90.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-69.056250,-25.977600,0.000000,bottom
"KD1","BAV70","SOT-23",-47.625000,-40.481250,-90.000000,bottom
"KD2","BAV70","SOT-23",-90.487500,-40.481250,-90.000000,bottom
"KD3","BAV70","SOT-23",-128.587500,-40.481250,-90.000000,bottom
"KD4","BAV70","SOT-23",-166.687500,-40.481250,-90.000000,bottom
"KD5","BAV70","SOT-23",-204.787500,-40.481250,-90.000000,bottom
"KD6","BAV70","SOT-23",-242.887500,-40.481250,-90.000000,bottom
"KD7","BAV70","SOT-23",-280.987500,-40.481250,-90.000000,bottom
"KD8","BAV70","SOT-23",-319.087500,-40.481250,-90.000000,bottom
"KD9","BAV70","SOT-23",-357.187500,-40.481250,-90.000000,bottom
"KD10","BAV70","SOT-23",-47.625000,-59.531250,-90.000000,bottom
"KD11","BAV70","SOT-23",-97.631250,-59.531250,-90.000000,bottom
"KD12","BAV70","SOT-23",-138.112500,-59.531250,-90.000000,bottom
"KD13","BAV70","SOT-23",-176.212500,-59.531250,-90.000000,bottom
"KD14","BAV70","SOT-23",-214.312500,-59.531250,-90.000000,bottom
"KD15","BAV70","SOT-23",-252.412500,-59.531250,-90.000000,bottom
"KD16","BAV70","SOT-23",-290.512500,-59.531250,-90.000000,bottom
"KD17","BAV70","SOT-23",-328.612500,-59.531250,-90.000000,bottom
"KD18","BAV70","SOT-23",-357.187500,-47.625000,-90.000000,bottom
"KD19","BAV70","SOT-23",-47.625000,-78.581250,-90.000000,bottom
"KD20","BAV70","SOT-23",-100.012500,-78.581250,-90.000000,bottom
"KD21","BAV70","SOT-23",-142.875000,-78.581250,-90.000000,bottom
"KD22","BAV70","SOT-23",-180.975000,-78.581250,-90.000000,bottom
"KD23","BAV70","SOT-23",-219.075000,-78.581250,-90.000000,bottom
"KD24","BAV70","SOT-23",-257.175000,-78.581250,-90.000000,bottom
"KD25","BAV70","SOT-23",-295.275000,-78.581250,-90.000000,bottom
"KD26","BAV70","SOT-23",-345.281250,-78.581250,-90.000000,bottom
"KD27","BAV70","SOT-23",-47.625000,-97.631250,-90.000000,bottom
"KD28","BAV70","SOT-23",-97.631250,-100.012500,-90.000000,bottom
"KD29","BAV70","SOT-23",-133.350000,-97.631250,-90.000000,bottom
"KD30","BAV70","SOT-23",-171.450000,-97.631250,-90.000000,bottom
"KD31","BAV70","SOT-23",-209.550000,-97.631250,-90.000000,bottom
"KD32","BAV70","SOT-23",-247.650000,-97.631250,-90.000000,bottom
"KD33","BAV70","SOT-23",-285.750000,-97.631250,-90.000000,bottom
"KD34","BAV70","SOT-23",-330.993750,-97.631250,-90.000000,bottom
"KD35","BAV70","SOT-23",-338.137500,-97.631250,-90.000000,bottom
"KD36","BAV70","SOT-23",-47.625000,-116.681250,-90.000000,bottom
"KD37","BAV70","SOT-23",-95.250000,-116.681250,-90.000000,bottom
"KD38","BAV70","SOT-23",-145.256250,-116.681250,-90.000000,bottom
"KD39","BAV70","SOT-23",-216.693750,-116.681250,-90.000000,bottom
