Ref,Val,Package,PosX,PosY,Rot,Side
">NAME",">VALUE","Mx_Stab_225",164.306250,-114.300000,180.000000,top
">NAME",">VALUE","Mx_Stab_225",92.868750,-95.250000,0.000000,top
">NAME",">VALUE","Mx_Stab_275",235.743750,-114.300000,180.000000,top
">NAME",">VALUE","Mx_Stab_225",335.756250,-76.200000,0.000000,top
">NAME",">VALUE","Mx_Stab_625",202.412500,-114.300000,180.000000,top
"K1","Key","SW_Cherry_MX_1.00u_PCB",38.100000,-38.100000,0.000000,top
"K2","Key","SW_Cherry_MX_1.00u_PCB",57.150000,-38.100000,0.000000,top
"K3","Key","SW_Cherry_MX_1.00u_PCB",80.962500,-38.100000,0.000000,top
"K4","Key","SW_Cherry_MX_1.00u_PCB",100.012500,-38.100000,0.000000,top
"K5","Key","SW_Cherry_MX_1.00u_PCB",119.062500,-38.100000,0.000000,top
"K6","Key","SW_Cherry_MX_1.00u_PCB",138.112500,-38.100000,0.000000,top
"K7","Key","SW_Cherry_MX_1.00u_PCB",157.162500,-38.100000,0.000000,top
"K8","Key","SW_Cherry_MX_1.00u_PCB",176.212500,-38.100000,0.000000,top
"K9","Key","SW_Cherry_MX_1.00u_PCB",195.262500,-38.100000,0.000000,top
"K10","Key","SW_Cherry_MX_1.00u_PCB",214.312500,-38.100000,0.000000,top
"K11","Key","SW_Cherry_MX_1.00u_PCB",233.362500,-38.100000,0.000000,top
"K12","Key","SW_Cherry_MX_1.00u_PCB",252.412500,-38.100000,0.000000,top
"K13","Key","SW_Cherry_MX_1.00u_PCB",271.462500,-38.100000,0.000000,top
"K14","Key","SW_Cherry_MX_1.00u_PCB",290.512500,-38.100000,0.000000,top
"K15","Key","SW_Cherry_MX_1.00u_PCB",309.562500,-38.100000,0.000000,top
"K16","Key","SW_Cherry_MX_1.00u_PCB",328.612500,-38.100000,0.000000,top
"K16A1","Key","SW_Cherry_MX_2.00u_PCB_NoStab",338.131250,-38.100000,0.000000,top
"K17","Key","SW_Cherry_MX_1.00u_PCB",347.662500,-38.100000,0.000000,top
"K18","Key","SW_Cherry_MX_1.00u_PCB",38.100000,-57.150000,0.000000,top
"K19","Key","SW_Cherry_MX_1.00u_PCB",57.150000,-57.150000,0.000000,top
"K20","Key","SW_Cherry_MX_1.50u_PCB",85.725000,-57.150000,0.000000,top
"K21","Key","SW_Cherry_MX_1.00u_PCB",109.537500,-57.150000,0.000000,top
"K22","Key","SW_Cherry_MX_1.00u_PCB",128.587500,-57.150000,0.000000,top
"K23","Key","SW_Cherry_MX_1.00u_PCB",147.637500,-57.150000,0.000000,top
"K24","Key","SW_Cherry_MX_1.00u_PCB",166.687500,-57.150000,0.000000,top
"K25","Key","SW_Cherry_MX_1.00u_PCB",185.737500,-57.150000,0.000000,top
